taxon,id
AAMB,0
ACLI,1
ADAM,2
ADCT,3
ADEU,4
ADLA,5
ADMI,6
ADMO,7
ADPY,8
ADRI,9
ADRU,10
ADSB,11
ADSH,12
ADSU,13
AFOR,14
AMID,15
AOVA,16
APED,17
AUGA,18
AUGR,19
AUPU,20
AUSU,21
CAEX,22
CAGR,23
CATO,24
CDUB,25
CEUG,26
CINV,27
CLCT,28
CLNT,29
CMED,30
CMEN,31
CMLF,32
COPL,33
CPED,34
CPLA,35
CRAC,36
CSLP,37
CTPU,38
DCOF,39
DMES,40
DMON,41
DOCU,42
DSTE,43
DTEN,44
DVUL,45
ECAE,46
ECPM,47
EICD,48
EMIN,49
ENCM,50
ENMI,51
ENVE,52
EOCO,53
ESLE,54
ESUM,55
ETEN,56
FCRO,57
FFVI,58
FGRA,59
FLEN,60
FMES,61
FMOC,62
FNEV,63
FPEC,64
FPRU,65
FSAP,66
FSBH,67
FSLU,68
FVAU,69
GACC,70
GBOB,71
GCLF,72
GCUN,73
GELG,74
GLAT,75
GMIN,76
GOLI,77
GPAR,78
GPLI,79
GPRI,80
GRHB,81
GSCI,82
GTER,83
GTRU,84
HARC,85
HLMO,86
HVEN,87
KALA,88
KCLE,89
LGOE,90
MCCO,91
MCIR,92
MVAR,93
NACD,94
NACI,95
NAMP,96
NANT,97
NCPL,98
NCPR,99
NCRY,100
NCTE,101
NCTO,102
NCTV,103
NDIS,104
NERI,105
NFIL,106
NFON,107
NGER,108
NGRE,109
NHEU,110
NIBU,111
NIPF,112
NIPU,113
NLAN,114
NLIN,115
NMIC,116
NPAE,117
NPAL,118
NRAD,119
NRCH,120
NRCS,121
NROS,122
NSOC,123
NSTS,124
NSUA,125
NTPT,126
NTRV,127
NULA,128
NVEN,129
NYCO,130
NZSU,131
PAPR,132
PBIO,133
PDAO,134
PGRN,135
PHEL,136
PLAU,137
PLFR,138
PROH,139
PSAT,140
PSBR,141
PSXO,142
PTCO,143
PTDE,144
PTDU,145
PTLA,146
PULA,147
RABB,148
RSIN,149
RUNI,150
SBKU,151
SBND,152
SCON,153
SHTE,154
SIDE,155
SKPO,156
SLAC,157
SPUP,158
SSVE,159
TAPI,160
TFAS,161
TGES,162
THLA,163
TLEV,164
UULN,165
